"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"3x Fartlek","Run","15min aquec. Educativos 5 sprints de 30seg com 1min trote 3x (com 2min trote entre séries): 15seg forte - 15seg trote 30seg forte - 30seg trote 45seg forte - 45seg trote 1min forte - 1min Trote complete o treino em trote leve","0.891666666666667","","2025-08-08","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","10928.259765625","","",""," *08/08/2025 Felipe da Cruz Rodolpho: Esse treino foi para testar os limites. rs mas foi bom de fazer*","0.892865777015686","3.40000009536743","","167","","140","171","","","0.850051319665915","71.26","22","13","14","5","0","","","","","","","","","","","","","","","","8","1"
"Strength","Strength","","","","2025-08-08","","0","","","","","0.775302529335022","0","","","","105","169","","","0.637019124100798","34.63","37","7","2","0","0","0","0","","","","","","","","","","","","","","",""
"Bike livre","Bike","","","","2025-08-09","","24666.759765625","107","388","373.853","","0.971265256404877","7.05499982833862","","72","","149","211","","","0.6883441080587","45.38","2","16","18","12","11","","","","","","17","21","12","4","1","2","","","","","2","3"
"300/6x50/400","Swim","300 aquec 300 (25progressivo. 50nadando) 6x 50 (25forte. 25fácil) com 10seg 400 pull+palmar (moderado) 200 solto","0.666666666666667","1500","2025-08-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2025-08-09","","24661.099609375","107","365","371.067","","0.968888878822327","7.07000017166138","","72","","149","211","","","0.686607984203948","45.23","2","15","18","12","11","","","","","","17","21","13","4","1","2","","","","","",""
"Corrida livre","Run","","","","2025-08-10","","15020.5400390625","","",""," *10/08/2025 Felipe da Cruz Rodolpho: estou 100% recuperado :-)* *12/08/2025 SAAB SPORTS: aah que bom Fe!! bora voltar a rotina me fala depois se deu certo se inscrever para maratona ou nao*","1.10508668422699","3.77600002288818","","169","","149","157","","","0.944523727815885","109.48","1","9","56","0","0","","","","","","","","","","","","","","","","6","1"
"OFF","Day Off","","","","2025-08-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-08-11","","3050","","","","","0.629027778175142","1.34539038376709","","23","","101","141","","","0.336718922286739","2.4","32","2","3","1","0","0","0","","","","","","","","","","","","","","3","3"
"1:20h Endurance","Bike","Endurance leve","1.33333333333333","","2025-08-12","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","35413.73046875","103","170","469.1","","1.25694441795349","7.82600021362305","","80","","122","189","","","0.618419311363596","47.97","4","64","2","3","3","","","","","","12","63","1","0","0","0","","","","","",""
"4X400","Swim","400 aquec. 4x 400 moderado com 30seg (3nd, 3 material livre) 200-600 solto","0.75","","2025-08-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3km!!! 3:46 - 170","Run","2km aquec. 5x 100 metros acelerado com 100 metros trote leve. Trote bem leve por 500 metros antes do teste. ----- Teste: 3000 metros o mais rápido possível! Trabalhe duro e busque sempre aplicar forca no chão, quando o pé fizer contato, e mantenha os braços acelerados e liderando o movimento. ---- Complete com mais 2km em ritmo confortável/regenerativo","0.597222222222222","7500","2025-08-13","","7794.33984375","","",""," *13/08/2025 Felipe da Cruz Rodolpho: Super desafio esses 3km. Mantive o ritmo, mas estava no limite.* *18/08/2025 SAAB SPORTS: Limiar  alterado de 4:10 pra 4:00 - FC de 160 para 170*","0.60348641872406","3.58800005912781","","168","","150","180","","","0.896871528984433","53.09","1","19","5","4","7","","","","","","","","","","","","","","","","8","1"
"Vídeo explicativo - Teste de Corrida 3km","Other","Vídeo explicativo - Parte 2 - Teste de Corrida 3km Por Coach Cris Solak @Cris Solak https://www.loom.com/share/e52fa9141516498f9e2d2c8e6162b72e","","","2025-08-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4x50/12x25","Swim","400 aquec 4x 50 (15max. 10solto) com 10seg 12x 25 vo2 com 15seg 400 (50perna. 50nadando) 200 solto","0.666666666666667","1500","2025-08-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1:20h Endurance","Bike","Endurance leve","1.33333333333333","","2025-08-14","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-08-14","","4200","","","","","0.806009168624878","1.44478844169247","","22","","124","144","","","0.361865197097293","3.82","8","24","12","4","0","0","0","","","","","","","","","","","","","","4","1"
"1km!!!","Run","2km aquec. 3x 100 metros acelerado com 100 metros trote leve. Trote bem leve por 1km antes do tiro ----- 1000 metros o mais rápido possível! ---- Complete com mais 5km em ritmo confortável/regenerativo","0.844444444444444","9600","2025-08-15","","9772.51953125","","",""," *15/08/2025 Felipe da Cruz Rodolpho: Fui até o meu limite.*","0.805248618125916","3.37100005149841","","165","","142","177","","","0.841971174446766","62.9","1","38","4","2","3","","","","","","","","","","","","","","","","9","1"
"4x50/10x50/300pb","Swim","300 aquec. 4x 50 (25 tec. 25nd progressivo) com 15seg 10x 50 (1 forte 1 fácil) com 20seg 300 pull-buoy moderado 200 solto","0.666666666666667","1500","2025-08-16","","3600","","","","","0.752863890329997","1.32499079867501","","24","","127","151","","","0.332065335063978","2.76","6","16","15","7","1","0","0","","","","","","","","","","","","","","4","1"
"Rodagem","Run","Aeróbico leve/ confortável","1.77638888888889","22000","2025-08-17","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","22312.859375","","",""," *17/08/2025 Felipe da Cruz Rodolpho: Foi bom. Me senti bem, mas quero ter um pace ainda melhor.* *18/08/2025 SAAB SPORTS: vamos buscar isso..mas cuidado passar muito do proposto aqui ne vc esta fazendo fortalecimento?* *19/08/2025 Felipe da Cruz Rodolpho: estou tentando ir pelo menos 1 vez por semana na academia*","1.65441477298737","3.74600005149841","","168","","149","158","","","0.940599246191998","164.2","1","20","78","0","0","","","","","","","","","","","","","","","","6","1"
"SEMANA REGENERATIVA","Other","","","","2025-08-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-08-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Técnica","Swim","200 aquec 8x 50m (25m cr r3 + 25m cr r5), com 20'' int 300m cr (pull + palmar) 200m solto","0.7","1500","2025-08-18","trabalhe educativos no aquecimento ----------------------- r3: respire a cada 3 br /r5: respire a cada 5 br ----------------------- utilize pull+palmar, puxando firme e realizando movimento completo da br submersa","2450","","",""," *18/08/2025 SAAB SPORTS: era off ne rapaz*","0.553993056615194","1.22622622622623","","24","","125","144","","","0.307113756855383","1.6","7","14","6","7","0","0","0","","","","","","","","","","","","","","3","1"
"2x30min Z2/Z3","Run","30 min Z2 (Aeróbico Leve) 1 min trotando ou caminhando. 30 min Z3 (Aeróbico Moderado)","1.01666666666667","","2025-08-19","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","11677.01953125","","",""," *19/08/2025 Felipe da Cruz Rodolpho: Bem tranquilo!!*","0.945675551891327","3.4300000667572","","166","","138","148","","","0.822583061129971","70.78","46","10","0","0","0","0","0","","","","","","","","","","","","","","3","1"
"12x 500m limiar 45seg descanso","Run","3k aquec 1k 100m velocidade 100m leve 12x 500 limiar com 45seg intervalo complete em trote leve","1.13583333333333","13000","2025-08-20","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","12380.669921875","","",""," *20/08/2025 Felipe da Cruz Rodolpho: Foi um bom treino. Consegui manter um ritmo constante nos tiros, recuperando bem nos intervalos.*","1.0535717010498","3.26399993896484","","152","","136","161","","","0.886251843239564","91.79","43","9","11","0","0","0","0","","","","","","","","","","","","","","6","1"
"400pb/400 (25-50-25)","Swim","300 aquec 400 pull-buoy (50r3. 25r5. 25livre) 400 (25téc. 50progressivo. 25fácil) 200 solto","0.666666666666667","1300","2025-08-20","","1800","","","","","0.435304721726312","1.1472275334608","","23","","132","162","","","0.275668960180605","0.91","3","4","11","3","2","1","1","","","","","","","","","","","","","","2","3"
"1h Endurance","Bike","Endurance Z2","1","","2025-08-21","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","23477.609375","104","155","314.552","","0.839722216129303","7.76599979400635","","76","","117","129","","","0.62265586308466","32.16","3","47","0","0","0","","","","","","10","40","1","0","0","0","","","","","",""
"12x1:30min Tiros na Subida","Run","20 min Aquecimento em Z2 (Aeróbico Leve) 4x15s em velocidade 6x1:30min Z6 (Limiar) descendo trotando ou 1min30seg intervalo, se fizer na esteira. 5 min Z2 (Aeróbico Leve) 6x1:30min Z6 (Limiar) descendo trotando ou 1min30seg intervalo, se fizer na esteira. Complete em trote leve","1.23333333333333","","2025-08-22","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","14312.98046875","","","","","1.15889203548431","3.43099999427795","","168","","138","169","","","0.824270395835619","87.55","51","9","6","4","0","0","0","","","","","","","","","","","","","","7","1"
"Strength","Strength","","","","2025-08-22","","0","","","","","1.10753977298737","0","","","","107","217","","","0.711880539901727","62.33","47","5","2","1","1","2","9","","","","","","","","","","","","","","",""
"Longo Confortável","Bike","Longo confortável Importante não forçar o ritmo. Pedale com calma, curtindo o dia. Ritmo de conversa!","1.66666666666667","","2025-08-23","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","23164.5703125","130","420","405.106","","0.865395545959473","7.43499994277954","","66","","136","198","","","0.826423280718517","59.22","2","29","13","5","2","","","","","","11","9","13","10","4","4","","","","","3","1"
"10x50","Swim","300 aquec. 10x 50 (2 forte 2 facil) com 20seg 200 solto","0.75","","2025-08-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3x 5k progressivo","Run","6k aquec 3x 5k progressivo a cada estímulo de 3k (z2, z3, z4 Descanso 3min parado 2k leve","2.19055555555556","26000","2025-08-24","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","25016.73046875","","",""," *24/08/2025 Felipe da Cruz Rodolpho: o último bloco dos 5km foi mais desafiador, mas deu para aguentar bem.* *26/08/2025 SAAB SPORTS: que belo treinoo fe sensacional o progressivo a 4:03 no final!!* *26/08/2025 Felipe da Cruz Rodolpho: segui 100% ao treino ;)*","2.04943466186523","3.39100003242493","","159","","138","163","","","0.861700232179113","171.61","85","17","17","3","0","0","0","","","","","","","","","","","","","","7","1"
"SEMANA REGENERATIVA!","Other","","","","2025-08-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-08-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-08-25","","2450","","","","","0.511694445874956","1.32863340563991","","23","","111","133","","","0.319200911110236","1.66","20","9","2","0","0","0","0","","","","","","","","","","","","","","3","1"
"ENDURANCE 1:15h","Bike","Dia de rodar em Endurance! Esse treino tem como principais objetivos: aumentar a capacidade aeróbica, melhorar o sistema cardiovascular e tornar o corpo mais eficiente e econômico. Mantenha a intensidade proposta!","1.25","","2025-08-26","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","36798.98046875","106","246","479.38","","1.25388884544373","8.15200042724609","","75","","136","190","","","0.651219556117658","52.8","1","44","21","6","4","","","","","","18","49","6","1","0","0","","","","","",""
"","Swim","8x 300m d=45seg. 1. e 2 aquec 3, 4, pullboll 50m r5 50m r3 5,6 e 7 pullboll + palmar 25m forte 75m moderado 8 solto","","2400","2025-08-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regenerativo 50'","Run","regenerativo","0.833333333333333","","2025-08-27","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9418.6396484375","","","","","0.838417768478394","3.12100005149841","","164","","128","140","","","0.748376997228749","51.8","50","0","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"TEMPO RIDE","Bike","Hoje iremos fazer um treino simples em TEMPO, aqueça durante 15 minutos tentando manter uma cadência acima de 95rpm, após o aquecimento pedale em TEMpo por 35 minutos trabalhando na faixa de 90-95rpm. Gire por 10 minutos em endurance e então complete o treino em giro leve.","1.16666666666667","","2025-08-28","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","31406.80078125","107","396","432.607","","1.11749994754791","7.80600023269653","","82","","120","145","","","0.663114177720583","48.76","4","61","2","0","0","","","","","","22","36","6","2","0","1","","","","","",""
"Lap Swimming","Swim","500 aquec. 5x 300 pull+palmar, moderado com 30seg 500 solto","","2500","2025-08-28","","2700","","","","","0.580190279218886","1.29124820659971","","24","","126","146","","","0.310243046888575","1.73","9","9","9","8","0","0","0","","","","","","","","","","","","","","3","1"
"longo e leve 1h30","Run","hoje o treino deve ser feito em zona aeróbica/ intensidade baixa não force o ritmo!","1.5","","2025-08-29","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","16579.330078125","","","","","1.34234726428986","3.43099999427795","","169","","136","148","","","0.824330583191952","101.78","79","2","0","0","0","0","0","","","","","","","","","","","","","","3","1"
"Strength","Strength","","","","2025-08-29","","0","","","","","0.816999197006226","0","","","","108","165","","","0.679791761064983","41.62","33","7","3","2","1","1","2","","","","","","","","","","","","","","",""
"LONGO - ENDURANCE","Bike","20 minutos de aquecimento iniciando em zona de recuperação ativa e gradualmente entrando em zona de Endurance. --------- Hoje o treino deve ser feito em intensidade leve/moderada (endurance). Mantenha esforço constante durante 1h20minutos podendo variar a cadência (85-105rpm). ------- Gire leve durante os 20 minutos finais.","2","","2025-08-30","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","45416.640625","132","457","790.119","","1.67305552959442","7.54099988937378","","71","","129","146","","","0.823120482686224","113.34","5","79","17","0","0","","","","","","17","19","35","20","5","5","","","","","",""
"","Swim","500m aquec 200m 25m forte 25m leve 300m 25m resp frontal 25m crawl 1000m moderado a intenso com pulboll 500m solto","","2500","2025-08-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 30K 20km finais 4:14","Run","Aeróbico leve/ confortável","2.32555555555556","30000","2025-08-31","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","30019.7890625","","",""," *31/08/2025 Felipe da Cruz Rodolpho: Foi bom. Comecei tranquilo e fui aumentando o ritmo. Cansou um pouco no fim, mas daria para continuar* *01/09/2025 SAAB SPORTS: que show!!! belo treino Fe!! vamos buscar sempre esse pace de forma progressiva nos proximos! mas foi excelente!! sowww 4:46 no s2,5 inicias.. depois 4:20 e mais de 20km depois a 4:14!!!* *02/09/2025 Felipe da Cruz Rodolpho: nao havia reparado neste detalhe. Sabia da média final e que a segunda metade tinha sido mais rápido que a primeira. E terminei bem.*","2.17270040512085","3.83800005912781","","170","","154","164","","","0.927943910141736","211.29","12","22","94","3","0","0","0","","","","","","","","","","","","","","7","1"
"OFF","Day Off","","","","2025-09-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-09-01","","2300","","","","","0.513229167726305","1.24324324324324","","25","","111","125","","","0.298761923474901","1.37","25","6","0","0","0","0","0","","","","","","","","","","","","","","3","1"
"","Swim","1000 aquec. 500 pull-buoy (25 palmateio 75nd r3) 40x 50 (3 forte 2 leve) cd 55 ou com 15seg, 10nd, 10 palmar, 10nd, 10 livre 500 solto","1","","2025-09-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regenerativo 50'","Run","regenerativo","0.833333333333333","","2025-09-02","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9349.490234375","","","","","0.812550842761993","3.19600009918213","","160","","133","149","","","0.774918065004512","53.77","41","8","0","0","0","0","0","","","","","","","","","","","","","","2","3"
"12x1min Tiros na Subida","Run","20 min Aquecimento em Z2 (Aeróbico Leve) 4x15s em velocidade 6x1min comece os tiros em Z6 (Limiar) progredindo para Z8 (Vo2) com 1:20min descendo trotando ou leve no plano se estiver na esteira. 5 min Z2 (Aeróbico Leve) 6x1min comece os tiros em Z6 (Limiar) progredindo para Z8 (Vo2) com 1:20min descendo trotando ou leve no plano se estiver na esteira. *Antes de cada tiro de 1 min, faça 5 pulos para no local para ""acordar a musculatura"".","1.1","","2025-09-03","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","12787.48046875","","","","","1.04123723506927","3.41100001335144","","168","","138","168","","","0.818052787970532","77.26","46","7","7","3","0","0","0","","","","","","","","","","","","","","7","1"
"6X400","Swim","1000 aquec. 6x 400 moderado com 30seg (3nd, 3 material livre) 200-600 solto","1","","2025-09-04","","2300","","","","","0.532512500551012","1.19791666666667","","24","","121","140","","","0.287943162225625","1.27","11","12","6","3","0","0","0","","","","","","","","","","","","","","3","1"
"ENDURANCE 1:15h","Bike","Dia de rodar em Endurance! Esse treino tem como principais objetivos: aumentar a capacidade aeróbica, melhorar o sistema cardiovascular e tornar o corpo mais eficiente e econômico. Mantenha a intensidade proposta!","1.25","","2025-09-04","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","27979.91015625","103","283","374.355","","1.00499999523163","7.73299980163574","","80","","126","188","","","0.624361396913893","38.87","4","48","3","4","2","","","","","","13","45","2","0","0","0","","","","","",""
"Aeróbico confortável","Run","aeróbico leve/confortável","1","","2025-09-05","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","12173.330078125","","","","","0.9892897605896","3.41799998283386","","167","","138","152","","","0.820568348925911","73.76","49","10","0","0","0","0","0","","","","","","","","","","","","","","3","1"
"Strength","Strength","","","","2025-09-05","","0","","","","","0.537475287914276","0","","","","97","140","","","0.615639067264069","22.22","30","1","1","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","800 aquec. 200 (25 tec. 25nd progressivo) 200 (25 forte 25 leve) 8x 100 pull-buoy (2 moderado 2 forte) com 20seg 4x 100 limiar com 20seg 100 solto 4x 100 limiar com 30seg 100 solto 4x 100 palmar, limiar com 20seg 600 solto","1","","2025-09-06","","3700","","","","","0.787483611636692","1.30098452883263","","24","","135","221","","","0.313234031821944","2.42","15","6","5","6","3","3","9","","","","","","","","","","","","","","7","3"
"Aeróbico Leve","Run","Aeróbico Leve Z2","0.833333333333333","9750","2025-09-06","PSE - Percepção Subjetiva de Esforço (de 0 a 10) Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9374.1796875","","","","","0.764397263526917","3.40700006484985","","166","","135","143","","","0.820003280423004","56.56","46","0","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"12x1km Limiar","Run","5km leve 12x 1km z5/6 com 45seg parado 4km leve","1.73333333333333","21000","2025-09-07","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","21409.48046875","","",""," *08/09/2025 SAAB SPORTS: que treinao Fe!!! parabéns!!! mesmo depois de correr 3 dias seguidos hein do começo ao fim mto bem equilibrado, constante!! como vc se sentiu? no ultimo estava esgotado? acabou bem? os 45seg dava para recuperar?* *08/09/2025 Felipe da Cruz Rodolpho: Obrigado!! os 45 segundos ajudaram bastante. Terminei cansado (os últimos 4 foram difíceis), mas não esgotado. Deu para correr leve depois e fiquei bem durante o dia todo.*","1.69163227081299","3.51600003242493","","160","","150","177","","","0.913138791406912","158.33","49","8","7","24","13","2","0","","","","","","","","","","","","","","9","1"
"OFF","Day Off","","","","2025-09-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lote de Lançamento – Macaquinho Saab Sports","Other","Lote de Lançamento – Macaquinho Saab Sports Estamos lançando o macaquinho oficial Saab Sports, produzido pela Join! Valor: R$ 880,00 à vista. Prazos de entrega Para quem vai competir no Ironman 70.3 SP → dia 12/09 Para quem vai competir no Troféu Brasil → dia 19/09 Pedidos até amanhã para garantir a entrega nessas datas. Após esse prazo, o tempo de entrega será de 60 dias, com pagamento de 50% no pedido e 50% na entrega. Interessados, me chamem no privado! (15) 99245-0404","","","2025-09-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Modelo do macaquinho Saab Sports Join","Other","","","","2025-09-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-09-08","","3850","","","","","0.835227221382989","1.27694859038143","","24","","138","163","","","0.307301606192471","2.42","3","7","8","14","6","3","8","","","","","","","","","","","","","","6","5"
"LIVE ENTRE TREINOS – HOJE!","Other","LIVE ENTRE TREINOS – HOJE!! Às 19h30, pelo Zoom, vamos falar sobre os BENEFÍCIOS DO TREINO DE FORÇA PARA ENDURANCE. Link do Zoom: https://us06web.zoom.us/j/88690754545?pwd=iIytbWqZDM71bBxIk8UnjVACLhbP8o.1 Aberta para todos os atletas Saab! Não perca essa chance de evoluir nos treinos.","","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lote de Lançamento – Macaquinho Saab Sports","Other","Lote de Lançamento – Macaquinho Saab Sports Estamos lançando o macaquinho oficial Saab Sports, produzido pela Join! Valor: R$ 880,00 à vista. Prazos de entrega Para quem vai competir no Ironman 70.3 SP → dia 12/09 Para quem vai competir no Troféu Brasil → dia 19/09 Pedidos até amanhã para garantir a entrega nessas datas. Após esse prazo, o tempo de entrega será de 60 dias, com pagamento de 50% no pedido e 50% na entrega. Interessados, me chamem no privado! (15) 99245-0404","","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20X100","Swim","500-1000 aquec. 20x 100 pull+palmar (3 moderado 2 forte) com 20seg 500 solto","1","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Modelo do macaquinho Saab Sports Join","Other","","","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
