"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Longo e Leve 1h25","Run","Hoje o treino deve ser feito em zona aeróbica/ intensidade baixa Não force o ritmo!","1.41666666666667","","2025-09-14","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","14795.58984375","185","267","1161.763"," *09/14/2025 Joyce Barros Lyra: Temp 27° C Umidade 73% Saída 06:00 Bananada sem açúcar , beta alanina , supercoffee , z2 pitaya Primeiros 5 km mantendo ritmo leve a moderado , na chegada na praia , fortes rajadas de vento que aumentaram muito a percepção de esforço . Melhora significativa ao virar a favor do vento com 8 km. Z2 double expresso com 30 min e xtratus 40g com 60 min. Precisei comprar uma garrafinha de água com 11km pq o sol começou a marcar presença e minha água tinha acabado . Mas não demorei mais de 1 min . Segui até aprimoradamente 15km . Percebo que o flow começa por volta de 6km . PSE média 4 Check out my run on Stryd! https://www.stryd.com/powercenter/run/6054475108614144* *09/14/2025 Joyce Barros Lyra: Tempo de corrida : 1:44 14,8 km* *09/14/2025 SAAB SPORTS: que otimo ja na casa dos 15k Joy!!! e sempre beba bastante agua, nao tem problema parar rapido par se hidratar, é mto importante! quando ao ritmo , da pra ver que depois de uns 10min encaixa mais, pace de 6:48 depois tem umas paradas e variando um pouco, deve ser devido a essas rajadas ne!? mas o que achou do corpo respondendo depois do km 13 14? diferente? ( talita)* *09/17/2025 SAAB SPORTS: Oi maravilhosa! (Raquel aqui) intestino zero? a rotina antes de sair de casa foi legal?* *09/17/2025 Joyce Barros Lyra: Intestino sem queixas durante o treino .  Bananada sem açúcar , beta alanina , supercoffee e z2 pitaya.* *09/17/2025 Joyce Barros Lyra: PSE depois dos 13 foi boa . Só continuei no ritmo constante até chegar na porta da minha casa .*","1.74130249023438","2.35999989509583","","151","","162","171","","","1.04090270851036","187.5","0","5","4","67","25","2","0","","","","1","1","2","63","35","2","","","","","4","5"
"Dia do Cliente com clube de benefícios","Other","Clube de Benefícios Saab Sports Aqui na Saab, você já larga na frente com a economia no seu dia a dia! Com o Clube Kaledo, você tem descontos exclusivos dos parceiros Saab Sports e de diversas marcas de produtos e serviços. Para ter acesso é simples: 1️⃣ Ter preenchido o cadastro Saab Sports; 2️⃣ Acesse o site: https://saabsports.suasvantagens.com.br/ 3️⃣ Ative a conta com seu CPF; 4️⃣ Aproveite todas as vantagens que preparamos para você. Economize, aproveite e viva mais benefícios com a Saab Sports! Em caso de dúvida ou problema no acesso, entre em contato pelo WhatsApp (15) 992450-2525","","","2025-09-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vo2: 10x 1min","Run","20min z2/3 10x (1min vo2 1min parado) complete em ritmo leve","0.833333333333333","","2025-09-16","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6413.89013671875","185","284","495.537"," *09/17/2025 Joyce Barros Lyra: Bom dia Tentei ir o mais rápido possível sem olhar pro relógio . Não tomei nenhum carbo . Pré treino foi uma banana e supercoffee . Alem de creatina e Betalanina . Finalmente estou conseguindo manter a regularidade dos suplementos.* *09/17/2025 SAAB SPORTS: ebaaaaaa (Raquel aqui) e aparentemente voce entregou bem demaisss! achei ok nao ter suplementado carbo mas fica atenta ao cansaço no restante do dia, se sentir um cansaço além do normal, vale usar nos próximos treinos parecidos pelo menos um sudract ou outro gel de 20g de carbo*","0.741270303726196","2.40300011634827","","146","","159","181","","","1.11504923380051","91.28","2","5","8","16","6","3","5","","","","8","2","1","9","15","10","","","","","",""
"Running","Run","","","","2025-09-16","","6413.89013671875","185","284","495.537"," *09/16/2025 Joyce Barros Lyra: Bom dia Tentei ir o mais rápido possível sem olhar pro relógio . Não tomei nenhum carbo . Pré treino foi uma banana e supercoffee . Alem de creatina e Betalanina . Finalmente estou conseguindo manter a regularidade dos suplementos.*","0.741270303726196","2.40300011634827","","146","","159","181","","","1.11504923380051","91.28","2","5","8","16","6","3","5","","","","8","2","1","9","15","10","","","","","7","3"
"Aeróbico Leve","Run","aeróbico leve","0.925555555555556","","2025-09-19","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","",""," *09/19/2025 SAAB SPORTS: mudei pra 8k*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4x 2km Race Pace z4/5","Run","3km aquec. 4x 2km race pace com 2min 3km leve","1.60083333333333","14000","2025-09-20","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-09-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico Leve","Run","aeróbico leve","1.17166666666667","10000","2025-09-23","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","10002.51953125","193","286","803.12"," *09/23/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/6186521529319424* *09/24/2025 SAAB SPORTS: deu tudo certo ne? se sentiu bem Jo?* *09/24/2025 Joyce Barros Lyra: Simm Deu tudo certo. 10 km tranquilos .*","1.15443551540375","2.40700006484985","","154","","162","173","","","1.08301812206297","134.57","2","2","3","42","20","1","0","","","","0","0","0","34","30","5","","","","","4","5"
"Limiar/Vo2 20min (1min x 1min)","Run","15min aquecimento leve 20min (1min forte. 1min leve) completar em ritmo confortável","0.75","","2025-09-25","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","4291.580078125","184","265","388.348"," *09/29/2025 SAAB SPORTS: como se sentiu nesses mais fortinho Joy?* *10/01/2025 Joyce Barros Lyra: Me senti bem , esse fiz na esteira. Só os 10 min finais que do caminhando pq estava cansada já .*","0.585078299045563","2.03800010681152","","139","","161","179","","","1.10685775757956","70.63","2","1","4","13","7","6","2","","","","4","1","0","10","12","9","","","","","",""
"Running","Run","","","","2025-09-25","","4291.580078125","184","265","388.348"," *09/25/2025 Joyce Barros Lyra: Últimos 10 min fiz caminhando . Encerrei o treino no garmin após último tiro .*","0.585078299045563","2.03800010681152","","139","","161","179","","","1.10685775757956","70.63","2","1","4","13","7","6","2","","","","4","1","0","10","12","9","","","","","7","3"
"OFF","Day Off","","","","2025-09-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-09-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4x 2K Race Pace x 2K Leve","Run","Aquecimento 2k 4x 2k leve 2k race pace","1.72444444444444","16000","2025-09-28","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","18010.5390625","189","236","1393.007"," *09/28/2025 Joyce Barros Lyra: 1 banana + z2 pitaya antes de sair Beta alanina + creatina Saída 05:30 Sai num ritmo lento até completar o aquecimento . Z2 double expresso com 35 min . Mesmo ciente que a genética não é favorável , segui com o planejado. Xtratus 40g com 1 hora de treino . Outro gel 25g com 1h30min . Bebi 750 ml de água durante o treino . Estava bem disposta e completei 18km . Desconforto na fáscia plantar região antero medial do calcâneo direito . Pontinho doloroso massageado com grip ball.* *09/28/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/4777059073556480* *09/29/2025 SAAB SPORTS: Preferiu continuar com a cafeina, Joy? nao quis testar sem o gel de cafeina? falou disso com a Raquel? como ficou depois a dor hj?? melhorou? quero que cuide disso essa semana.. e se estiver doendo, nao corra o proximo treino ta? quanto ao treino, foi otimo so precisamos ter paces mais discrepantes um do outro em treinos como esses como algo de 30segundos ao menos de diferença do leve para o race pace ta?* *10/01/2025 Joyce Barros Lyra: Entendi . O próximo vai ser melhor . 🙏🏻*","2.0404806137085","2.45199990272522","","154","","163","185","","","1.06190425153846","229.02","4","11","7","29","36","33","2","","","","0","0","2","64","53","3","","","","","5","3"
"Aeróbico confortável","Run","aeróbico confortável (de preferência, incluir um pouco de subida)","1","","2025-09-30","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6139.2099609375","177","226","475.789"," *10/01/2025 SAAB SPORTS: pq fez menos/? ta tudo bem?* *10/02/2025 Joyce Barros Lyra: Fiz menos pq calculei mal a volta pra casa . Era pra ter terminado com 50 min . Já estava meio tarde e acelerei um pouco na volta . Cheguei a um pace de quase 5 .*","0.746038615703583","2.28600001335144","","148","","160","177","","","0.99464597618027","72.98","1","4","5","17","14","2","2","","","","0","0","6","31","7","0","","","","","4",""
"Running","Run","","","","2025-09-30","","6139.2099609375","177","226","475.789","","0.746038615703583","2.28600001335144","","148","","160","177","","","0.99464597618027","72.98","1","4","5","17","14","2","2","","","","0","0","6","31","7","0","","","","","4",""
"4x8min Race Pace ( Moderado)","Run","5min Aeróbico Leve, 3min Aeróbico Moderado, 3min Aeróbico Leve 4 x (8min Aeróbico Race pace/ firme com 2min leve). Complete em trote leve 5min","0.933333333333333","","2025-10-02","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","8244.75","184","231","629.847"," *10/02/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/4884321209319424* *10/02/2025 Joyce Barros Lyra: Treino foi bom , em alguns momentos dei meu máximo , em alguns intervalos de descanso caminhei para conseguir beber água . O vento interfere muito na percepção de esforço . Veja gráfico da resistência do vento no stryd. Achei que consegui sustentar bem o ritmo principalmente no terceiro tiro de 8 min .*","0.95114529132843","2.40799999237061","","153","","163","183","","","1.04197021275885","102.63","1","3","6","17","14","8","8","","","","1","2","3","29","20","2","","","","","5","3"
"PEDIDO UNIFORMES ATÉ HOJE!","Other","Atenção, atletas! Quem ainda não garantiu sua camiseta de corrida ou camisa de ciclismo, temos um novo lote já está em fabricação. Prazo para pedidos: até HOJE 03/10 Faça seu pedido aqui: https://almyiik0dud.typeform.com/to/hBCmAjxH Informações importantes: * Entrega: até 40 dias após o envio do pedido ao fornecedor (Mynd) * Pagamento: em até 2x• 1ª parcela até 05/10• 2ª parcela na entrega * Frete: por conta do atleta Dados para pagamento (Pix):Chave Pix: CNPJ 45.651.589/0001-26Razão Social: SAAB SPORTS MARKETING ESPORTIVO LTDA","","","2025-10-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14K Race Pace","Run","5k aquec 13k race pace 1k leve","2.00861111111111","19000","2025-10-04","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","",""," *09/28/2025 SAAB SPORTS: aqui subir para 5km o aquecimento e nao so 3*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-05","","18845.439453125","54","232","455.785","","2.32332706451416","2.25300002098083","","149","","164","178","","","0.755204235214685","132.13","2","5","11","43","48","27","3","","","","98","0","2","28","11","1","","","","","5","3"
"Running","Run","","","","2025-10-05","","18845.439453125","54","232","455.785","","2.32332706451416","2.25300002098083","","149","","164","178","","","0.755204235214685","132.13","2","5","11","43","48","27","3","","","","98","0","2","28","11","1","","","","","",""
"semana regenerativa","Other","","","","2025-10-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regenerativo 40'","Run","regenerativo","0.666666666666667","","2025-10-07","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","",""," *10/07/2025 SAAB SPORTS: nao deixa para correr tarde ta?*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longo Progressivo","Run","Progressivo: 25 min Z2 (Aeróbico Leve) 20 min Z3 (Aeróbico Moderado) 15 min Z4 (Aeróbico Intenso) 10 min leve em Z2 (Aeróbico Leve)","0.916666666666667","","2025-10-09","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","5404.35986328125","","",""," *10/10/2025 SAAB SPORTS: so apra deixar resgitrado que parou para atender telefone.. legal que o Nitrato ta fazendo efeito*","0.611772775650024","2.4539999961853","","149","","163","177","","","0.803787767244343","43.3","2","3","2","9","6","14","1","","","","","","","","","","","","","","3","5"
"Rodagem 17k","Run","Aeróbico leve/ confortável","1.94194444444444","17000","2025-10-11","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","",""," *10/08/2025 SAAB SPORTS: Junto com Jorge começa no 7:00/ 7:05 depois dos 15 acelera se der*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-10-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 15k","Run","Aeróbico leve/ confortável","1.71361111111111","15000","2025-10-14","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","13971.01953125","193","257","1092.314"," *10/14/2025 SAAB SPORTS: treino com Jorge ne?* *10/17/2025 Joyce Barros Lyra: Sim ♥️*","1.57169723510742","2.46900010108948","","157","","168","180","","","1.07750868773776","181.58","1","2","3","15","21","33","19","","","","0","0","0","41","50","3","","","","","5","5"
"Running","Run","","","","2025-10-14","","13971.01953125","193","257","1092.314","","1.57169723510742","2.46900010108948","","157","","168","180","","","1.07750868773776","181.58","1","2","3","15","21","33","19","","","","0","0","0","41","50","3","","","","","4","5"
"5x5min Z4 (Aeróbico Intenso)","Run","15 min Aquecimento Z2 (Aeróbico Leve) 5x: 5 min Z4 (Aeróbico Intenso) 2 min Z2 (Aeróbico Leve) Bem leve para recuperar e fazer o próximo estímulo em boa forma. 10 min leve em Z2 (Aeróbico Leve)","1","","2025-10-16","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3x 3k progressivo - sozinha .. definir","Run","5k aquec 3x 3k progressivo a cada estímulo de 3k (z4, z5, z6) Descanso 3min parado 2k leve","1.83083333333333","16000","2025-10-18","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 18k - JORGE","Run","Aeróbico leve/ confortável","2.05611111111111","18000","2025-10-19","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regenerativo","Run","regenerativo","1","","2025-10-21","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","",""," *10/21/2025 SAAB SPORTS: Mudei aqui para 1h para vcs correrem ta!?*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5km (300m/200m)","Run","15min aquecimento leve 2.5km (300m limiar/ 200m trote leve) completar em ritmo leve","0.623055555555556","","2025-10-23","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
